year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,area
2013,NTU,College Of Business (Nanyang Business School),Accountancy And Business,97.4,96.1,3701,3200,3727,3350,2900,4000,Business
2013,NTU,College Of Business (Nanyang Business School),Accountancy (3-Yr Direct Honours Programme),97.1,95.7,2850,2700,2938,2700,2700,2900,Business
2013,NTU,College Of Business (Nanyang Business School),Business (3-Yr Direct Honours Programme),90.9,85.7,3053,3000,3214,3000,2700,3500,Business
2013,NTU,College Of Business (Nanyang Business School),Business And Computing,87.5,87.5,3557,3400,3615,3400,3000,4100,Business
2013,NTU,College Of Engineering,Aerospace Engineering,95.3,95.3,3494,3500,3536,3500,3100,3816,Engineering
2013,NTU,College Of Engineering,Bioengineering,81.3,68.8,2952,2900,3166,3125,2893,3365,Engineering
2013,NTU,College Of Engineering,Chemical And Biomolecular Engineering,87.3,85.1,3235,3000,3377,3200,3000,3800,Engineering
2013,NTU,College Of Engineering,Computer Engineering,90.3,88.2,3326,3100,3374,3175,3000,3600,Computing
2013,NTU,College Of Engineering,Civil Engineering,94.8,93.8,3091,3000,3182,3100,3000,3380,Engineering
2013,NTU,College Of Engineering,Computer Science,92.1,88.5,3249,3000,3306,3125,3000,3600,Computing
2013,NTU,College Of Engineering,Electrical And Electronic Engineering,91,88.7,3133,3000,3187,3100,3000,3440,Engineering
2013,NTU,College Of Engineering,Environmental Engineering,84,81.5,3091,3000,3140,3000,3000,3300,Engineering
2013,NTU,College Of Engineering,Information Engineering And Media,85.7,79.6,3160,3150,3203,3200,2950,3400,Engineering
2013,NTU,College Of Engineering,Materials Engineering,82.5,78.9,2989,3000,3096,3000,2800,3300,Engineering
2013,NTU,College Of Engineering,Mechanical Engineering,91.6,89.5,3125,3000,3226,3100,3000,3500,Engineering
2013,NTU,College Of Engineering,Maritime Studies,95.6,93.3,3050,3000,3111,3000,2850,3200,Engineering
2013,NTU,"College Of Humanities, Arts & Social Sciences","Art, Design & Media",81.6,61.4,2639,2500,2638,2500,2300,2900,Arts & Social Sciences
2013,NTU,"College Of Humanities, Arts & Social Sciences",Chinese,85.1,80.5,2818,2800,2924,3000,2600,3300,Arts & Social Sciences
2013,NTU,"College Of Humanities, Arts & Social Sciences",Communication Studies,89.4,79.6,2893,2930,2956,3000,2700,3250,Arts & Social Sciences
2013,NTU,"College Of Humanities, Arts & Social Sciences",Economics,89.9,83.5,3085,3000,3148,3000,2800,3545,Arts & Social Sciences
2013,NTU,"College Of Humanities, Arts & Social Sciences",English,82.7,67.3,3087,3000,3179,3100,2800,3400,Arts & Social Sciences
2013,NTU,"College Of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,90.6,81.3,2691,2600,2725,2625,2475,3018,Arts & Social Sciences
